SKU,Localized For,Title,Product Description,Condition,List Price,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19
216407928,en_US,Складной нож BUCK 0286CMS18 Bantam BHW Realtree Xtra Camo,"",NEW,3400.0,https://static-ru.insales.ru/images/products/1/6714/377322042/cbb776a1decdf2742cdc406d43358c97-700x700.jpg,https://static-ru.insales.ru/images/products/1/6719/377322047/99fdf3cbd8b71b7c56cb3eeb15ff06c9-700x700.jpg,"","","","","","","","",Производитель,Buck,Длина клинка,92 мм,Материал рукояти,Нейлон,Общая длина,227 мм,Толщина клинка,"3,0 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Back-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407636,en_US,Нож KERSHAW Swerve 3850,"",NEW,3310.0,https://static-ru.insales.ru/images/products/1/6144/377321472/35b501afe90e4df6850729e23588dbe8-700x700.jpg,https://static-ru.insales.ru/images/products/1/6147/377321475/8bf762c20c8f50b1244609a26124b4ef-700x700.jpg,https://static-ru.insales.ru/images/products/1/6152/377321480/176421e08c53d8745544cd654e2bfc3e-700x700.jpg,"","","","","","","",Производитель,Kershaw,Твердость стали по HRC,57-58,Твёрдость,57-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216407856,en_US,"Складной нож BUCK 0112BLS2 112 Slim Select Blue, синяя рукоять","",NEW,3000.0,https://static-ru.insales.ru/images/products/1/6564/377321892/c476bd79a520792b49d000e730927bdf-700x700.jpg,https://static-ru.insales.ru/images/products/1/6568/377321896/91fce2d615d6e81dd2be49e800e3fb51-700x700.jpg,"","","","","","","","",Производитель,Buck,Длина клинка,76 мм,Материал рукояти,Нейлон,Общая длина,184 мм,Толщина клинка,"3,0 мм",Обработка клинка,Stonewash,Фиксатор клинка,замок Back-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407361,en_US,"Складной нож Cold Steel 20NPG Finn Wolf Blue, синий","",NEW,4680.0,https://static-ru.insales.ru/images/products/1/5543/377320871/87c7d4e149220f844cb2e5b05fe2a64c-700x700.jpg,https://static-ru.insales.ru/images/products/1/5549/377320877/6c3ca79f3224bd168c41052a3260c69a-700x700.jpg,"","","","","","","","",Производитель,Cold Steel,Длина клинка,89 мм,Материал рукояти,Griv-Ex,Общая длина,200 мм,Толщина клинка,"3,0 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Tri-Ad-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407420,en_US,"Раскладной нож SOG, SOGAC77 Access Card Black Tini",<p><span>Сталь - VG-10.Замок Arc-Lock.<br />Рукоятка - покрытие нитрид-титана<br />Производство США.<br />Длина лезвия - 7 см.</span></p>,NEW,5100.0,https://static-ru.insales.ru/images/products/1/5661/377320989/18675b92c7b54245507fdcba5267966d-700x700.jpg,https://static-ru.insales.ru/images/products/1/5667/377320995/3f7c75c4ae971fcf4e4793188c6fe1ac-700x700.jpg,https://static-ru.insales.ru/images/products/1/5674/377321002/dc39e80af9c7a2592232a75121709b6f-700x700.jpg,https://static-ru.insales.ru/images/products/1/5677/377321005/b694cde9066a642d2885c53732a47491-700x700.jpg,"","","","","","",Производитель,SOG,Твердость стали по HRC,59-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216407555,en_US,Складной нож Victorinox 0.3803 Sportsman,"",NEW,1970.0,https://static-ru.insales.ru/images/products/1/5972/377321300/viktorinox-700x700.jpg,"","","","","","","","","",Производитель,Victorinox,Длина в закрытом состоянии,84 мм,Цвет,красный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216407531,en_US,Складной нож CRKT Columbia River K500GXP Helical,"",NEW,5630.0,https://static-ru.insales.ru/images/products/1/5924/377321252/30ea122e10535621bed13e0319652534-700x700.jpg,https://static-ru.insales.ru/images/products/1/5930/377321258/c6f1b5be95b123e7afa6900be4aea6db-700x700.jpg,https://static-ru.insales.ru/images/products/1/5935/377321263/f17d96b3a3775f3a097bb0bd7fac4906-700x700.jpg,"","","","","","","",Производитель,CRKT,Длина клинка,90 мм,Материал рукояти,Алюминий 6061,Общая длина,206 мм,Толщина клинка,"3,3 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407243,en_US,"Складной нож Ловкий, х12мф, граб","",NEW,3400.0,https://static-ru.insales.ru/images/products/1/5277/377320605/skladnoy_nozh_lovkiy_h12mf_grab-700x700.JPG,https://static-ru.insales.ru/images/products/1/5283/377320611/skladnoy_nozh_lovkiy_h12mf_grab2-700x700.JPG,https://static-ru.insales.ru/images/products/1/5287/377320615/skladnoy_nozh_lovkiy_h12mf_grab1-700x700.JPG,https://static-ru.insales.ru/images/products/1/5291/377320619/skladnoy_nozh_lovkiy_h12mf_grab3-700x700.JPG,"","","","","","",Производитель,Ножи Марычева,Артикул Поставщика,"Ловкий, х12мф, граб",Твердость стали по HRC,60,Длина рукояти,120-125,Длина клинка,95±3,Марка стали,Х12МФ,Материал рукояти,граб,Общая длина,210±3,Толщина клинка,"2,4",Чехол,натуральная кожа,Фиксатор клинка,Liner Lock,Ширина,22-28,,,,,,,,,,,,,,
216407475,en_US,Складной нож Cold Steel 20MWC Crawford Model 1,"",NEW,4610.0,https://static-ru.insales.ru/images/products/1/5791/377321119/80536f140407c06c227129f7f193b811-700x700.jpg,https://static-ru.insales.ru/images/products/1/5794/377321122/eb58a3679ab8020def1a9701001570b0-700x700.jpg,"","","","","","","","",Производитель,Cold Steel,Длина клинка,89 мм,Материал рукояти,Zy-Ex,Общая длина,213 мм,Толщина клинка,"3,3 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407335,en_US,Складной нож CRKT Columbia River K340KXP Bombastic,"",NEW,6000.0,https://static-ru.insales.ru/images/products/1/5488/377320816/0dd12701a0ce1c05d1095f3eaf4dba58-700x700.jpg,https://static-ru.insales.ru/images/products/1/5493/377320821/7d43efbb6245ae1a246099e3709e7166-700x700.jpg,https://static-ru.insales.ru/images/products/1/5499/377320827/befa17eaf2ea3deaed86422f4bff98f3-700x700.jpg,"","","","","","","",Производитель,CRKT,Длина клинка,84 мм,Материал рукояти,"Нержавеющая сталь 2Cr13, ней",Общая длина,202 мм,Толщина клинка,"3,1 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Frame-Lock,,,,,,,,,,,,,,,,,,,,,,,,
